FOODID,FOODNAME,LANG,,,,,,,,
1,SOKERI,FI,,,,,,,,
2,FRUKTOOSI, HEDELM�SOKERI,FI,,,,,,,
3,SIIRAPPI,FI,,,,,,,,
4,HUNAJA,FI,,,,,,,,
5,MAKEINEN, KARAMELLI,FI,,,,,,,
6,SUKLAA, KESKIARVO, MAITO-, TUMMA-, VALKO-,FI,,,,
7,SUKLAAKONVEHTI, MARMELADIT�YTE,FI,,,,,,,
8,LAKRITSI,FI,,,,,,,,
9,MAKEINEN, MARMELADIMAKEINEN,FI,,,,,,,
10,MARSIPAANI, MANTELIMASSA,FI,,,,,,,
11,MAKEINEN, TOFFEE,FI,,,,,,,
12,MAKEINEN, SALMIAKKIPASTILLI,FI,,,,,,,
14,SUKLAAPATUKKA SUKLAINEN, KESKIARVO,FI,,,,,,,
20,KAAKAOJAUHE, EI LIS�TTY� SOKERIA,FI,,,,,,,
21,KAAKAOJAUHE, SOKEROITU,FI,,,,,,,
24,SORBITOLI,FI,,,,,,,,
25,LIIVATE,FI,,,,,,,,
26,HIIVA, TUORE,FI,,,,,,,
27,JAUHO, MAISSIT�RKKELYS,FI,,,,,,,
28,SINAPPI,FI,,,,,,,,
29,LIHALIEMI, LAIMENNETTU,FI,,,,,,,
30,RUOKASUOLA, JODIOITU,FI,,,,,,,
31,MAUSTEKASTIKE, SOIJAKASTIKE,FI,,,,,,,
32,SUKLAA, TUMMA,FI,,,,,,,
33,SUKLAA, MAITOSUKLAA,FI,,,,,,,
34,HALVA SEESAMSIEMENVALMISTE,FI,,,,,,,,
35,MAKEINEN, SOKERITON,FI,,,,,,,
36,MINERAALISUOLA, KESKIARVO,FI,,,,,,,
37,SUKLAA, SOKERITON, KEINOTEKOISESTI MAKEUTETTU,FI,,,,,,
38,LIHALIEMIJAUHE/TIIVISTE,FI,,,,,,,,
39,MAKEUTUSAINE, ASPARTAAMI, JAUHE,FI,,,,,,
40,V�LIPALAPATUKKA, KUITUINEN,FI,,,,,,,
43,RUISMALLAS,FI,,,,,,,,
44,SUKLAAPATUKKA T�YTESUKLAA, KESKIARVO,FI,,,,,,,
62,KSYLITOLIPASTILLI,FI,,,,,,,,
63,SUKLAAPATUKKA V�H�RASVAINEN,FI,,,,,,,,
65,KSYLITOLIPURUKUMI,FI,,,,,,,,
66,PURUKUMI,FI,,,,,,,,
68,OHRAT�RKKELYS,FI,,,,,,,,
69,HEDELM�PASTILLI, ARABIKUMIPASTILLI,FI,,,,,,,
70,MAKEUTUSAINE, HERMESETAS, SAKARIINI,FI,,,,,,
73,JOGURTTIRUSINA/JOGURTTIHEDELM�, KUORRUTETTU KUIVATTU HEDELM�,FI,,,,,,,
74,LEIVINJAUHE,FI,,,,,,,,
